time,raw_reading,batch,capacitance
80,12639092,5,12.73143164
100,12722615,6,12.77221436
100,12694908,6,12.75868555
100,12710558,6,12.76632715
100,12710486,6,12.76629199
100,12706188,6,12.76419336
100,12722159,6,12.7719917
100,12712952,6,12.76749609
100,12709895,6,12.76600342
100,12706780,6,12.76448242
100,12710945,6,12.76651611
100,12706303,6,12.76424951
100,12695415,6,12.75893311
100,12704505,6,12.76337158
100,12711903,6,12.76698389
100,12712082,6,12.76707129
100,12717458,6,12.76969629
100,12720871,6,12.77136279
100,12708999,6,12.76556592
100,12706563,6,12.76437646
100,12709750,6,12.76593262
100,12698622,6,12.76049902
100,12697360,6,12.75988281
100,12710482,6,12.76629004
100,12714941,6,12.76846729
100,12719376,6,12.77063281
100,12717365,6,12.76965088
100,12704352,6,12.76329687
100,12720771,6,12.77131396
100,12721095,6,12.77147217
100,12715163,6,12.76857568
100,12707124,6,12.76465039
100,12708339,6,12.76524365
100,12721154,6,12.77150098
100,12710503,6,12.76630029
100,12704366,6,12.76330371
100,12721051,6,12.77145068
100,12708511,6,12.76532764
100,12719394,6,12.7706416
100,12703891,6,12.76307178
100,12711829,6,12.76694775
100,12724832,6,12.77329688
100,12710847,6,12.76646826
100,12709290,6,12.76570801
100,12710658,6,12.76637598
100,12712330,6,12.76719238
100,12708033,6,12.76509424
100,12709371,6,12.76574756
100,12704316,6,12.7632793
100,12703693,6,12.7629751
100,12699528,6,12.76094141
100,12704518,6,12.76337793
100,12710880,6,12.76648438
100,12717647,6,12.76978857
100,12703938,6,12.76309473
100,12716385,6,12.76917236
100,12706134,6,12.76416699
100,12720715,6,12.77128662
100,12699150,6,12.76075684
100,12713870,6,12.76794434
100,12707442,6,12.76480566
100,12718906,6,12.77040332
100,12700111,6,12.76122607
100,12698172,6,12.7602793
100,12701944,6,12.76212109
100,12703638,6,12.76294824
100,12729023,6,12.77534326
100,12709909,6,12.76601025
100,12721852,6,12.7718418
100,12697982,6,12.76018652
100,12718029,6,12.7699751
100,12710273,6,12.76618799
100,12705822,6,12.76401465
100,12701428,6,12.76186914
100,12695356,6,12.7589043
100,12718910,6,12.77040527
100,12699599,6,12.76097607
100,12715536,6,12.76875781
100,12706477,6,12.76433447
100,12710789,6,12.76643994
100,12704536,6,12.76338672
100,12708323,6,12.76523584
100,12704660,6,12.76344727
100,12695576,6,12.75901172
100,12704730,6,12.76348145
100,12709651,6,12.76588428
100,12721985,6,12.77190674
100,12708807,6,12.76547217
100,12706441,6,12.76431689
100,12708829,6,12.76548291
100,12718852,6,12.77037695
100,12719224,6,12.77055859
100,12703983,6,12.7631167
100,12706408,6,12.76430078
100,12715175,6,12.76858154
100,12717433,6,12.76968408
100,12702782,6,12.76253027
100,12721655,6,12.77174561
100,12707902,6,12.76503027
100,12712288,6,12.76717187
100,12716300,6,12.76913086
100,12720408,6,12.77113672
100,12711069,6,12.76657666
100,12711891,6,12.76697803
100,12699529,6,12.76094189
100,12720026,6,12.7709502
100,12713533,6,12.76777979
100,12707745,6,12.76495361
100,12715063,6,12.76852686
100,12706172,6,12.76418555
100,12713827,6,12.76792334
100,12721708,6,12.77177148
100,12718866,6,12.77038379
100,12724473,6,12.77312158
100,12703597,6,12.76292822
100,12708622,6,12.76538184
