paper,capacitance
1.300000000000000000e+01,1.490216900000000000e+07
1.300000000000000000e+01,1.489606900000000000e+07
1.300000000000000000e+01,1.489366800000000000e+07
1.300000000000000000e+01,1.489674200000000000e+07
1.300000000000000000e+01,1.490388800000000000e+07
1.300000000000000000e+01,1.489938000000000000e+07
1.300000000000000000e+01,1.487653400000000000e+07
1.300000000000000000e+01,1.488626200000000000e+07
1.300000000000000000e+01,1.489642400000000000e+07
1.300000000000000000e+01,1.489333900000000000e+07
1.300000000000000000e+01,1.489518000000000000e+07
1.300000000000000000e+01,1.489224400000000000e+07
1.300000000000000000e+01,1.491058500000000000e+07
1.300000000000000000e+01,1.489932300000000000e+07
1.300000000000000000e+01,1.489722000000000000e+07
1.300000000000000000e+01,1.489990600000000000e+07
1.300000000000000000e+01,1.490699100000000000e+07
1.300000000000000000e+01,1.490522800000000000e+07
1.300000000000000000e+01,1.489229000000000000e+07
1.300000000000000000e+01,1.489863900000000000e+07
1.300000000000000000e+01,1.489419500000000000e+07
1.300000000000000000e+01,1.489868600000000000e+07
1.300000000000000000e+01,1.489795600000000000e+07
1.300000000000000000e+01,1.489230600000000000e+07
1.300000000000000000e+01,1.490311700000000000e+07
1.300000000000000000e+01,1.489953300000000000e+07
1.300000000000000000e+01,1.491020200000000000e+07
1.300000000000000000e+01,1.489495600000000000e+07
1.300000000000000000e+01,1.490086000000000000e+07
1.400000000000000000e+01,1.445862900000000000e+07
1.400000000000000000e+01,1.446302100000000000e+07
1.400000000000000000e+01,1.445947200000000000e+07
1.400000000000000000e+01,1.444241100000000000e+07
1.400000000000000000e+01,1.447103000000000000e+07
1.400000000000000000e+01,1.447266200000000000e+07
1.400000000000000000e+01,1.445676100000000000e+07
1.400000000000000000e+01,1.446742300000000000e+07
1.400000000000000000e+01,1.445772100000000000e+07
1.400000000000000000e+01,1.446097800000000000e+07
1.400000000000000000e+01,1.445786900000000000e+07
1.400000000000000000e+01,1.446466600000000000e+07
1.400000000000000000e+01,1.446155000000000000e+07
1.400000000000000000e+01,1.447023300000000000e+07
1.400000000000000000e+01,1.447850300000000000e+07
1.400000000000000000e+01,1.447128600000000000e+07
1.400000000000000000e+01,1.445992300000000000e+07
1.400000000000000000e+01,1.447427200000000000e+07
1.400000000000000000e+01,1.447531000000000000e+07
1.400000000000000000e+01,1.447631400000000000e+07
1.400000000000000000e+01,1.447975700000000000e+07
1.400000000000000000e+01,1.448431600000000000e+07
1.400000000000000000e+01,1.446984600000000000e+07
1.400000000000000000e+01,1.448792000000000000e+07
1.400000000000000000e+01,1.448216100000000000e+07
1.400000000000000000e+01,1.447990900000000000e+07
1.400000000000000000e+01,1.448479600000000000e+07
1.400000000000000000e+01,1.447918000000000000e+07
1.400000000000000000e+01,1.448108200000000000e+07
1.400000000000000000e+01,1.447180800000000000e+07
1.400000000000000000e+01,1.447703000000000000e+07
1.400000000000000000e+01,1.448248900000000000e+07
1.400000000000000000e+01,1.449124100000000000e+07
1.400000000000000000e+01,1.447729500000000000e+07
1.400000000000000000e+01,1.448984500000000000e+07
1.400000000000000000e+01,1.449239700000000000e+07
1.400000000000000000e+01,1.449066100000000000e+07
1.400000000000000000e+01,1.449006200000000000e+07
1.400000000000000000e+01,1.448824500000000000e+07
1.400000000000000000e+01,1.448638100000000000e+07
1.400000000000000000e+01,1.448368300000000000e+07
1.400000000000000000e+01,1.449197300000000000e+07
1.400000000000000000e+01,1.449203900000000000e+07
1.400000000000000000e+01,1.448730000000000000e+07
1.400000000000000000e+01,1.449093500000000000e+07
1.400000000000000000e+01,1.449281000000000000e+07
1.400000000000000000e+01,1.448385700000000000e+07
1.400000000000000000e+01,1.448674300000000000e+07
1.400000000000000000e+01,1.449156100000000000e+07
1.400000000000000000e+01,1.449476600000000000e+07
1.400000000000000000e+01,1.448554300000000000e+07
1.400000000000000000e+01,1.449419800000000000e+07
1.400000000000000000e+01,1.449120900000000000e+07
1.400000000000000000e+01,1.449192200000000000e+07
1.400000000000000000e+01,1.448664200000000000e+07
1.400000000000000000e+01,1.449213800000000000e+07
1.400000000000000000e+01,1.449683400000000000e+07
1.400000000000000000e+01,1.448707300000000000e+07
1.400000000000000000e+01,1.449543200000000000e+07
1.400000000000000000e+01,1.449618300000000000e+07
1.400000000000000000e+01,1.449799100000000000e+07
1.400000000000000000e+01,1.450064100000000000e+07
1.400000000000000000e+01,1.448986400000000000e+07
1.400000000000000000e+01,1.450471800000000000e+07
1.400000000000000000e+01,1.449487400000000000e+07
1.400000000000000000e+01,1.450192000000000000e+07
1.400000000000000000e+01,1.450519700000000000e+07
1.400000000000000000e+01,1.449611800000000000e+07
1.400000000000000000e+01,1.450146700000000000e+07
1.400000000000000000e+01,1.448779700000000000e+07
1.400000000000000000e+01,1.449898000000000000e+07
1.400000000000000000e+01,1.450249800000000000e+07
1.400000000000000000e+01,1.451282700000000000e+07
1.400000000000000000e+01,1.449982300000000000e+07
1.400000000000000000e+01,1.449130300000000000e+07
1.400000000000000000e+01,1.450769100000000000e+07
1.400000000000000000e+01,1.449632800000000000e+07
1.400000000000000000e+01,1.450221400000000000e+07
